JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H154337P02JTW1,Y09H154337P02,Y09H154337,Ballarat (C) - South,Ballarat (C),8,Ballarat (C) - Central,Ballarat (C),8,Vehicle Driver,5.23,29,45,AM Peak (7am to 9am),36.49607223,54.27804239, 
Y09H154338P01JTW1,Y09H154338P01,Y09H154338,Ballarat (C) - South,Ballarat (C),6,Ballarat (C) - Inner North,Ballarat (C),6,Vehicle Driver,11.63,20,20,Off Peak,31.85265594,32.38470915, 
Y09H154338P02JTW1,Y09H154338P02,Y09H154338,Ballarat (C) - South,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,6.84,10,10,AM Peak (7am to 9am),24.95736395,26.09816006, 
Y09H154339P01JTW1,Y09H154339P01,Y09H154339,Ballarat (C) - South,Ballarat (C),14,Ballarat (C) - South,Ballarat (C),14,Vehicle Driver,3.55,15,15,Off Peak,26.85462287,38.34116655, 
Y09H154402P01JTW1,Y09H154402P01,Y09H154402,Ballarat (C) - Central,Ballarat (C),8,Ballarat (C) - Inner North,Ballarat (C),8,Vehicle Driver,3.74,5,5,AM Peak (7am to 9am),28.98896876,41.44440547, 
Y09H154403P01JTW1,Y09H154403P01,Y09H154403,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),9,Vehicle Driver,17.65,30,105,AM Peak (7am to 9am),30.5050429,40.94617654, 
Y09H154403P02JTW1,Y09H154403P02,Y09H154403,Ballarat (C) - Central,Ballarat (C),9,Ballarat (C) - Central,Ballarat (C),10,Vehicle Driver,7.4,20,40,Off Peak,24.98783929,34.34603948, 
Y09H154417P02JTW1,Y09H154417P02,Y09H154417,Ballarat (C) - Central,Ballarat (C),7,Ballarat (C) - Central,Ballarat (C),7,Vehicle Driver,3.19,5,5,AM Peak (7am to 9am),30.05570872,40.06622567, 
Y09H154418P01JTW1,Y09H154418P01,Y09H154418,Ballarat (C) - Central,Ballarat (C),5,Yarra (C) - Richmond,Yarra (C),8,Train,127.57,130,130,AM Peak (7am to 9am),42.85475861,61.61238167, 
Y09H154424P02JTW1,Y09H154424P02,Y09H154424,Ballarat (C) - Central,Ballarat (C),10,Ballarat (C) - Inner North,Ballarat (C),10,Vehicle Driver,7.58,13,20,Off Peak,34.27221136,45.68709948, 
