JTWID,PERSID,HHID,ORIGSLA,ORIGLGA,STARTHOUR,DESTSLA,DESTLGA,ARRHOUR,JTWMODE,JTWDIST,JTWTravelTime,JTWElapsedTime,TRAVELPERIOD,ADJTWWGT,WDJTWWGT,WEJTWWGT
Y09H010139P01JTW1,Y09H010139P01,Y09H010139,Yarra (C) - North,Yarra (C),8,Brimbank (C) - Keilor,Brimbank (C),8,Vehicle Driver,23.57,40,40,AM Peak (7am to 9am),143.1274321,205.7193528, 
Y09H010139P02JTW1,Y09H010139P02,Y09H010139,Yarra (C) - North,Yarra (C),8,Whitehorse (C) - Nunawading E.,Whitehorse (C),8,Vehicle Driver,18.39,35,35,AM Peak (7am to 9am),153.3463637,220.7870405, 
Y09H010140P01JTW1,Y09H010140P01,Y09H010140,Yarra (C) - North,Yarra (C),8,Yarra (C) - North,Yarra (C),9,Walking,1.1,15,15,AM Peak (7am to 9am),151.7061329,214.8172573, 
Y09H010140P01JTW2,Y09H010140P01,Y09H010140,Yarra (C) - North,Yarra (C),14,Yarra (C) - North,Yarra (C),15,Walking,1.1,15,15,Off Peak,151.7061329,214.8172573, 
Y09H010208P01JTW1,Y09H010208P01,Y09H010208,Yarra (C) - North,Yarra (C),9,Melbourne (C) - Remainder,Melbourne (C),10,Tram,5.66,70,70,Off Peak,223.9896652,323.8591416, 
Y09H010210P01JTW1,Y09H010210P01,Y09H010210,Yarra (C) - North,Yarra (C),7,Melbourne (C) - Remainder,Melbourne (C),8,Walking,2.48,40,40,AM Peak (7am to 9am),112.9713986,141.3155322, 
Y09H010212P01JTW1,Y09H010212P01,Y09H010212,Yarra (C) - North,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,4.43,25,25,AM Peak (7am to 9am),100.82515,125.6480961, 
Y09H010213P02JTW1,Y09H010213P02,Y09H010213,Yarra (C) - North,Yarra (C),11,Melbourne (C) - Inner,Melbourne (C),11,Vehicle Driver,3.84,10,10,Off Peak,214.4456671, ,669.1120883
Y09H010213P02JTW2,Y09H010213P02,Y09H010213,Yarra (C) - North,Yarra (C),19,Melbourne (C) - Inner,Melbourne (C),19,Vehicle Driver,3.84,10,10,Off Peak,214.4456671, ,669.1120883
Y09H010225P01JTW1,Y09H010225P01,Y09H010225,Yarra (C) - North,Yarra (C),6,Melbourne (C) - Inner,Melbourne (C),6,Bicycle,4.07,20,20,Off Peak,145.1737038,204.7801338, 
Y09H010229P02JTW1,Y09H010229P02,Y09H010229,Yarra (C) - North,Yarra (C),7,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Tram,6.42,47,47,AM Peak (7am to 9am),154.1620035,234.6671681, 
Y09H010232P01JTW1,Y09H010232P01,Y09H010232,Yarra (C) - North,Yarra (C),7,Port Phillip (C) - West,Port Phillip (C),7,Vehicle Driver,8.41,25,25,AM Peak (7am to 9am),40.99466765,64.47375651, 
Y09H010236P01JTW1,Y09H010236P01,Y09H010236,Yarra (C) - North,Yarra (C),8,Whitehorse (C) - Nunawading E.,Whitehorse (C),8,Vehicle Driver,21.89,30,30,AM Peak (7am to 9am),148.5209486,222.1119648, 
Y09H010238P01JTW1,Y09H010238P01,Y09H010238,Yarra (C) - North,Yarra (C),8,Yarra (C) - North,Yarra (C),8,Vehicle Driver,2.66,15,15,AM Peak (7am to 9am),169.9561518,241.6330745, 
Y09H010115P02JTW1,Y09H010115P02,Y09H010115,Yarra (C) - North,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,5.33,50,50,AM Peak (7am to 9am),183.3962769,259.5891229, 
Y09H010115P03JTW1,Y09H010115P03,Y09H010115,Yarra (C) - North,Yarra (C),7,Kingston (C) - North,Kingston (C),8,Vehicle Driver,26.46,60,60,AM Peak (7am to 9am),223.9896652,323.8591416, 
Y09H010115P04JTW1,Y09H010115P04,Y09H010115,Yarra (C) - North,Yarra (C),10,Melbourne (C) - Inner,Melbourne (C),11,Bicycle,4.09,45,45,Off Peak,223.9896652,323.8591416, 
Y09H010122P01JTW1,Y09H010122P01,Y09H010122,Yarra (C) - North,Yarra (C),9,Hume (C) - Broadmeadows,Hume (C),9,Vehicle Driver,17.06,40,40,Off Peak,119.5100013,144.5322681, 
Y09H010123P01JTW1,Y09H010123P01,Y09H010123,Yarra (C) - North,Yarra (C),7,Gr. Dandenong (C) - Balance,Greater Dandenong (C),8,Vehicle Driver,40.06,40,40,AM Peak (7am to 9am),103.7341643,155.0251743, 
Y09H010123P02JTW1,Y09H010123P02,Y09H010123,Yarra (C) - North,Yarra (C),6,Banyule (C) - Heidelberg,Banyule (C),7,Vehicle Driver,8.44,15,15,Off Peak,97.1601729,144.9264796, 
Y09H010124P02JTW1,Y09H010124P02,Y09H010124,Yarra (C) - North,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),8,Train,5.5,30,30,AM Peak (7am to 9am),207.5746694,301.4574695, 
Y09H010124P03JTW1,Y09H010124P03,Y09H010124,Yarra (C) - North,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,3.49,33,33,AM Peak (7am to 9am),254.6353871,363.3119688, 
Y09H010126P01JTW1,Y09H010126P01,Y09H010126,Yarra (C) - North,Yarra (C),7,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,4.69,30,30,AM Peak (7am to 9am),168.1109777,241.6870747, 
Y09H010126P02JTW1,Y09H010126P02,Y09H010126,Yarra (C) - North,Yarra (C),6,Melbourne (C) - Inner,Melbourne (C),7,Tram,5.66,30,30,Off Peak,185.2851459,268.0024948, 
Y09H010305P01JTW1,Y09H010305P01,Y09H010305,Yarra (C) - Richmond,Yarra (C),7,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Vehicle Driver,4.97,15,15,AM Peak (7am to 9am),40.32793749,54.59523587, 
Y09H010308P02JTW1,Y09H010308P02,Y09H010308,Yarra (C) - Richmond,Yarra (C),7,Whittlesea (C) - South-East,Whittlesea (C),8,Vehicle Driver,19.5,35,35,AM Peak (7am to 9am),133.1034115,183.473027, 
Y09H010310P01JTW1,Y09H010310P01,Y09H010310,Yarra (C) - Richmond,Yarra (C),7,Glen Eira (C) - Caulfield,Glen Eira (C),8,Train,9.65,34,34,AM Peak (7am to 9am),112.4073691,163.295774, 
Y09H010310P02JTW1,Y09H010310P02,Y09H010310,Yarra (C) - Richmond,Yarra (C),7,Melbourne (C) - Inner,Melbourne (C),8,Tram,3.64,35,35,AM Peak (7am to 9am),94.36228035,140.2542844, 
Y09H010318P01JTW1,Y09H010318P01,Y09H010318,Yarra (C) - Richmond,Yarra (C),11,Melbourne (C) - Inner,Melbourne (C),11,Tram,4.01,29,39,Off Peak,142.5677997,193.4113092, 
Y09H010318P02JTW1,Y09H010318P02,Y09H010318,Yarra (C) - Richmond,Yarra (C),10,Melbourne (C) - Inner,Melbourne (C),11,Tram,3.49,27,27,Off Peak,170.126645,230.7983796, 
Y09H010322P01JTW1,Y09H010322P01,Y09H010322,Yarra (C) - Richmond,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,4.58,30,30,AM Peak (7am to 9am),183.6767825,282.6582135, 
Y09H010322P02JTW1,Y09H010322P02,Y09H010322,Yarra (C) - Richmond,Yarra (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Passenger,3.01,20,20,AM Peak (7am to 9am),173.8876499,262.1656898, 
Y09H010325P01JTW1,Y09H010325P01,Y09H010325,Yarra (C) - Richmond,Yarra (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,4.81,15,15,AM Peak (7am to 9am),74.97295789,110.8591607, 
Y09H010329P01JTW1,Y09H010329P01,Y09H010329,Yarra (C) - Richmond,Yarra (C),14,Banyule (C) - Heidelberg,Banyule (C),14,Vehicle Driver,15.69,37,45,Off Peak,126.8766713,175.8222057, 
Y09H010330P01JTW1,Y09H010330P01,Y09H010330,Yarra (C) - Richmond,Yarra (C),7,Melbourne (C) - Inner,Melbourne (C),8,Tram,2.52,35,35,AM Peak (7am to 9am),134.8636514,250.384883, 
Y09H010335P01JTW1,Y09H010335P01,Y09H010335,Yarra (C) - Richmond,Yarra (C),15,Yarra (C) - Richmond,Yarra (C),15,Walking,0.17,10,10,Off Peak,114.2381685, ,250.8376838
Y09H010238P02JTW1,Y09H010238P02,Y09H010238,Yarra (C) - North,Yarra (C),7,Melbourne (C) - Inner,Melbourne (C),8,Tram,4.47,50,50,AM Peak (7am to 9am),207.5746694,301.4574695, 
Y09H010304P01JTW1,Y09H010304P01,Y09H010304,Yarra (C) - Richmond,Yarra (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Tram,4.65,35,35,AM Peak (7am to 9am),95.15674507,128.6348188, 
Y09H010522P02JTW1,Y09H010522P02,Y09H010522,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Inner,Melbourne (C),8,Walking,2.38,16,16,AM Peak (7am to 9am),244.6130652,299.8695616, 
Y09H010523P01JTW1,Y09H010523P01,Y09H010523,Melbourne (C) - Remainder,Melbourne (C),10,Melbourne (C) - Inner,Melbourne (C),11,Walking,1.9,30,30,Off Peak,234.9026927,290.2610373, 
Y09H010524P01JTW1,Y09H010524P01,Y09H010524,Melbourne (C) - Remainder,Melbourne (C),8,Yarra (C) - North,Yarra (C),12,Vehicle Driver,10.08,40,240,AM Peak (7am to 9am),53.69035068,62.52524133, 
Y09H010525P01JTW1,Y09H010525P01,Y09H010525,Melbourne (C) - Remainder,Melbourne (C),10,Stonnington (C) - Prahran,Stonnington (C),10,Taxi,5.41,35,35,Off Peak,142.9399786,191.5613284, 
Y09H010525P02JTW1,Y09H010525P02,Y09H010525,Melbourne (C) - Remainder,Melbourne (C),15,Stonnington (C) - Prahran,Stonnington (C),15,Vehicle Driver,5.41,15,15,PM Peak (3pm to 6pm),153.1455266,205.5920272, 
Y09H010532P02JTW1,Y09H010532P02,Y09H010532,Melbourne (C) - Remainder,Melbourne (C),16,Melbourne (C) - Inner,Melbourne (C),16,Bicycle,2.71,15,15,PM Peak (3pm to 6pm),51.97195583,59.0555233, 
Y09H010538P01JTW1,Y09H010538P01,Y09H010538,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,3.25,35,60,AM Peak (7am to 9am),43.03496557,49.40543297, 
Y09H010539P02JTW1,Y09H010539P02,Y09H010539,Melbourne (C) - Remainder,Melbourne (C),9,Melbourne (C) - Remainder,Melbourne (C),9,Walking,2.71,20,20,Off Peak,135.9741915,198.8122823, 
Y09H010604P01JTW1,Y09H010604P01,Y09H010604,Port Phillip (C) - West,Port Phillip (C),9,Melbourne (C) - Southbank & Docklands,Melbourne (C),10,Tram,4.78,50,50,Off Peak,215.0948552,330.8237292, 
Y09H010605P01JTW1,Y09H010605P01,Y09H010605,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,3.77,15,15,AM Peak (7am to 9am),229.3153504,353.4659825, 
Y09H010605P02JTW1,Y09H010605P02,Y09H010605,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),8,Tram,3.4,23,23,AM Peak (7am to 9am),276.4277488,417.4417694, 
Y09H010608P02JTW1,Y09H010608P02,Y09H010608,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Vehicle Driver,3.21,15,15,AM Peak (7am to 9am),115.4209356,151.2990716, 
Y09H010609P01JTW1,Y09H010609P01,Y09H010609,Port Phillip (C) - West,Port Phillip (C),7,Yarra (C) - North,Yarra (C),7,Tram,5.54,37,37,AM Peak (7am to 9am),147.3079485,193.9466316, 
Y09H010610P01JTW1,Y09H010610P01,Y09H010610,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Vehicle Passenger,4.97,20,20,AM Peak (7am to 9am),290.261474,439.9974479, 
Y09H010335P02JTW1,Y09H010335P02,Y09H010335,Yarra (C) - Richmond,Yarra (C),15,Yarra (C) - Richmond,Yarra (C),15,Walking,0.17,10,10,Off Peak,110.2415434, ,237.7821465
Y09H010403P02JTW1,Y09H010403P02,Y09H010403,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,5.21,25,25,AM Peak (7am to 9am),122.34261,196.2888219, 
Y09H010429P01JTW1,Y09H010429P01,Y09H010429,Port Phillip (C) - West,Port Phillip (C),7,Boroondara (C) - Kew,Boroondara (C),8,Vehicle Driver,14.75,44,45,AM Peak (7am to 9am),41.21456644,48.97757635, 
Y09H010429P02JTW1,Y09H010429P02,Y09H010429,Port Phillip (C) - West,Port Phillip (C),7,Boroondara (C) - Kew,Boroondara (C),8,Vehicle Passenger,14.75,44,45,AM Peak (7am to 9am),49.22630161,58.08907625, 
Y09H010429P03JTW1,Y09H010429P03,Y09H010429,Port Phillip (C) - West,Port Phillip (C),7,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Vehicle Passenger,3.83,15,15,AM Peak (7am to 9am),69.74581051,81.05959692, 
Y09H010430P01JTW1,Y09H010430P01,Y09H010430,Port Phillip (C) - West,Port Phillip (C),8,Knox (C) - North-West,Knox (C),9,Vehicle Driver,24.48,75,75,AM Peak (7am to 9am),48.48260288,58.36077182, 
Y09H010510P01JTW1,Y09H010510P01,Y09H010510,Melbourne (C) - Remainder,Melbourne (C),9,Yarra (C) - North,Yarra (C),9,Vehicle Driver,1.08,10,10,Off Peak,71.35838139,107.9907632, 
Y09H010510P02JTW1,Y09H010510P02,Y09H010510,Melbourne (C) - Remainder,Melbourne (C),8,Yarra (C) - North,Yarra (C),9,Vehicle Driver,15.17,50,60,AM Peak (7am to 9am),56.47248517,84.17578949, 
Y09H010510P02JTW2,Y09H010510P02,Y09H010510,Melbourne (C) - Remainder,Melbourne (C),15,Yarra (C) - North,Yarra (C),16,Vehicle Driver,4.25,25,40,PM Peak (3pm to 6pm),56.47248517,84.17578949, 
Y09H010511P01JTW1,Y09H010511P01,Y09H010511,Melbourne (C) - Remainder,Melbourne (C),7,Moonee Valley (C) - Essendon,Moonee Valley (C),8,Vehicle Driver,4.73,20,20,AM Peak (7am to 9am),148.1220314,199.9047342, 
Y09H010512P01JTW1,Y09H010512P01,Y09H010512,Melbourne (C) - Remainder,Melbourne (C),7,Port Phillip (C) - St Kilda,Port Phillip (C),8,Vehicle Driver,9.4,40,40,AM Peak (7am to 9am),146.9347556,199.1259604, 
Y09H010512P02JTW1,Y09H010512P02,Y09H010512,Melbourne (C) - Remainder,Melbourne (C),8,Yarra (C) - North,Yarra (C),9,Walking,1.01,15,15,AM Peak (7am to 9am),168.1318656,227.1247469, 
Y09H010516P01JTW1,Y09H010516P01,Y09H010516,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),9,Tram,3.81,33,33,AM Peak (7am to 9am),264.8096867,324.7978635, 
Y09H010517P01JTW1,Y09H010517P01,Y09H010517,Melbourne (C) - Remainder,Melbourne (C),8,Banyule (C) - Heidelberg,Banyule (C),8,Vehicle Driver,10.11,30,30,AM Peak (7am to 9am),172.3194685,231.765477, 
Y09H010517P02JTW1,Y09H010517P02,Y09H010517,Melbourne (C) - Remainder,Melbourne (C),8,Monash (C) - South-West,Monash (C),9,Vehicle Driver,22.35,45,45,AM Peak (7am to 9am),155.5039447,205.9987037, 
Y09H010522P01JTW1,Y09H010522P01,Y09H010522,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Inner,Melbourne (C),8,Walking,2.02,15,15,AM Peak (7am to 9am),360.3416215,433.9866962, 
Y09H010619P01JTW1,Y09H010619P01,Y09H010619,Port Phillip (C) - West,Port Phillip (C),8,Port Phillip (C) - St Kilda,Port Phillip (C),8,Walking,0.47,10,10,AM Peak (7am to 9am),217.0938909,327.8399449, 
Y09H010626P01JTW1,Y09H010626P01,Y09H010626,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,4.09,15,15,AM Peak (7am to 9am),277.6047729,425.6302794, 
Y09H010626P02JTW1,Y09H010626P02,Y09H010626,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Walking,0.59,10,10,AM Peak (7am to 9am),265.145993,409.0077503, 
Y09H010630P01JTW1,Y09H010630P01,Y09H010630,Port Phillip (C) - West,Port Phillip (C),7,Frankston (C) - West,Frankston (C),8,Vehicle Driver,35.5,45,45,AM Peak (7am to 9am),147.3079485,193.9466316, 
Y09H010630P02JTW1,Y09H010630P02,Y09H010630,Port Phillip (C) - West,Port Phillip (C),9,Frankston (C) - West,Frankston (C),10,Vehicle Driver,37.32,60,65,Off Peak,137.9725363,181.312504, 
Y09H010641P03JTW1,Y09H010641P03,Y09H010641,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,4.38,40,40,Off Peak,272.7536567, ,736.7134593
Y09H010711P01JTW1,Y09H010711P01,Y09H010711,Port Phillip (C) - St Kilda,Port Phillip (C),7,Brimbank (C) - Keilor,Brimbank (C),8,Vehicle Driver,20.65,30,30,AM Peak (7am to 9am),279.6838284,403.7300619, 
Y09H010716P01JTW1,Y09H010716P01,Y09H010716,Port Phillip (C) - St Kilda,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),9,Tram,5.1,45,45,AM Peak (7am to 9am),233.8703212,343.6613322, 
Y09H010723P01JTW1,Y09H010723P01,Y09H010723,Port Phillip (C) - St Kilda,Port Phillip (C),8,Melbourne (C) - Remainder,Melbourne (C),10,Vehicle Driver,14.8,43,95,AM Peak (7am to 9am),147.0122711,215.4714682, 
Y09H010725P01JTW1,Y09H010725P01,Y09H010725,Port Phillip (C) - St Kilda,Port Phillip (C),8,Port Phillip (C) - St Kilda,Port Phillip (C),8,Public Bus,3.03,15,15,AM Peak (7am to 9am),252.3913227,358.8449431, 
Y09H010726P01JTW1,Y09H010726P01,Y09H010726,Port Phillip (C) - St Kilda,Port Phillip (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Vehicle Driver,7.62,25,25,AM Peak (7am to 9am),375.2290867,537.6237334, 
Y09H010730P01JTW1,Y09H010730P01,Y09H010730,Port Phillip (C) - St Kilda,Port Phillip (C),8,Port Phillip (C) - St Kilda,Port Phillip (C),8,Walking,0.86,15,15,AM Peak (7am to 9am),233.8703212,343.6613322, 
Y09H010801P01JTW1,Y09H010801P01,Y09H010801,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,2.62,32,32,AM Peak (7am to 9am),131.4873697,178.1588546, 
Y09H010802P01JTW1,Y09H010802P01,Y09H010802,Melbourne (C) - Remainder,Melbourne (C),8,Moonee Valley (C) - Essendon,Moonee Valley (C),8,Vehicle Driver,2.68,10,10,AM Peak (7am to 9am),244.141608,302.6435847, 
Y09H010802P02JTW1,Y09H010802P02,Y09H010802,Melbourne (C) - Remainder,Melbourne (C),10,Moonee Valley (C) - Essendon,Moonee Valley (C),10,Tram,5.94,45,45,Off Peak,299.1038682,369.5921832, 
Y09H010803P02JTW1,Y09H010803P02,Y09H010803,Melbourne (C) - Remainder,Melbourne (C),5,Gr. Dandenong (C) - Dandenong,Greater Dandenong (C),7,Train,41.54,100,100,AM Peak (7am to 9am),176.331222,260.9585033, 
Y09H010804P01JTW1,Y09H010804P01,Y09H010804,Melbourne (C) - Remainder,Melbourne (C),6,Melbourne (C) - Remainder,Melbourne (C),7,Vehicle Driver,2.94,35,35,AM Peak (7am to 9am),144.9835703,190.6867483, 
Y09H010838P02JTW1,Y09H010838P02,Y09H010838,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Walking,0.64,5,5,AM Peak (7am to 9am),394.8758973,485.9987925, 
Y09H010838P03JTW1,Y09H010838P03,Y09H010838,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Remainder,Melbourne (C),8,Walking,1.28,15,15,AM Peak (7am to 9am),417.2420048,513.5261785, 
Y09H010839P01JTW1,Y09H010839P01,Y09H010839,Melbourne (C) - Remainder,Melbourne (C),7,Gr. Dandenong (C) - Dandenong,Greater Dandenong (C),8,Vehicle Driver,37.84,55,55,AM Peak (7am to 9am),426.9581923,512.1682795, 
Y09H010839P02JTW1,Y09H010839P02,Y09H010839,Melbourne (C) - Remainder,Melbourne (C),5,Melbourne (C) - Southbank & Docklands,Melbourne (C),7,Bicycle,2.68,17,100,AM Peak (7am to 9am),394.3666521,481.5243536, 
Y09H010901P01JTW1,Y09H010901P01,Y09H010901,Melbourne (C) - Remainder,Melbourne (C),8,Stonnington (C) - Prahran,Stonnington (C),8,Vehicle Driver,2.97,15,15,AM Peak (7am to 9am),196.8744001,241.6698943, 
Y09H010904P01JTW1,Y09H010904P01,Y09H010904,Melbourne (C) - Remainder,Melbourne (C),10,Melbourne (C) - Remainder,Melbourne (C),11,Walking,1.3,20,20,Off Peak,226.1370577,270.3537187, 
Y09H010915P01JTW1,Y09H010915P01,Y09H010915,Melbourne (C) - Remainder,Melbourne (C),7,Melbourne (C) - Remainder,Melbourne (C),7,Walking,0.15,1,1,AM Peak (7am to 9am),240.608219,296.3007064, 
Y09H010915P02JTW1,Y09H010915P02,Y09H010915,Melbourne (C) - Remainder,Melbourne (C),9,Melbourne (C) - Remainder,Melbourne (C),9,Walking,0.15,1,1,Off Peak,196.8744001,241.6698943, 
Y09H010917P01JTW1,Y09H010917P01,Y09H010917,Melbourne (C) - Remainder,Melbourne (C),6,Boroondara (C) - Kew,Boroondara (C),7,Tram,12.54,50,50,AM Peak (7am to 9am),212.376187,259.8040289, 
Y09H010917P02JTW1,Y09H010917P02,Y09H010917,Melbourne (C) - Remainder,Melbourne (C),7,Port Phillip (C) - West,Port Phillip (C),7,Vehicle Driver,1.81,5,5,AM Peak (7am to 9am),278.374629,342.6183313, 
Y09H010922P01JTW1,Y09H010922P01,Y09H010922,Melbourne (C) - Remainder,Melbourne (C),9,Melbourne (C) - Remainder,Melbourne (C),9,Vehicle Driver,4.49,23,23,Off Peak,300.0710188,361.3982464, 
Y09H010924P01JTW1,Y09H010924P01,Y09H010924,Melbourne (C) - Remainder,Melbourne (C),7,Boroondara (C) - Hawthorn,Boroondara (C),7,Vehicle Driver,7.01,25,25,AM Peak (7am to 9am),234.072476,288.0920628, 
Y09H010924P02JTW1,Y09H010924P02,Y09H010924,Melbourne (C) - Remainder,Melbourne (C),8,Stonnington (C) - Prahran,Stonnington (C),8,Tram,3.07,37,40,AM Peak (7am to 9am),287.1406982,347.2041835, 
Y09H010929P02JTW1,Y09H010929P02,Y09H010929,Melbourne (C) - Remainder,Melbourne (C),7,Melbourne (C) - Remainder,Melbourne (C),7,Bicycle,4.72,25,25,AM Peak (7am to 9am),244.6130652,299.8695616, 
Y09H010930P01JTW1,Y09H010930P01,Y09H010930,Melbourne (C) - Remainder,Melbourne (C),6,Melbourne (C) - Remainder,Melbourne (C),6,Vehicle Driver,5.6,30,30,Off Peak,249.0547453,306.9429283, 
Y09H010931P01JTW1,Y09H010931P01,Y09H010931,Melbourne (C) - Remainder,Melbourne (C),7,Melbourne (C) - Inner,Melbourne (C),7,Tram,3.35,35,35,AM Peak (7am to 9am),202.4409694,248.9702065, 
Y09H010932P01JTW1,Y09H010932P01,Y09H010932,Melbourne (C) - Remainder,Melbourne (C),10,Stonnington (C) - Prahran,Stonnington (C),10,Vehicle Driver,3.77,15,15,Off Peak,102.3056471,148.7535282, 
Y09H010935P02JTW1,Y09H010935P02,Y09H010935,Melbourne (C) - Remainder,Melbourne (C),12,Melbourne (C) - Remainder,Melbourne (C),12,Bicycle,1.58,15,15,Off Peak,329.3132481, ,1855.205515
Y09H010936P01JTW1,Y09H010936P01,Y09H010936,Melbourne (C) - Remainder,Melbourne (C),7,Knox (C) - North-East,Knox (C),9,Vehicle Driver,27.33,60,105,AM Peak (7am to 9am),112.5784937,152.0512111, 
Y09H010936P02JTW1,Y09H010936P02,Y09H010936,Melbourne (C) - Remainder,Melbourne (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Driver,3.85,10,10,AM Peak (7am to 9am),133.8858671,180.8294602, 
Y09H010941P01JTW1,Y09H010941P01,Y09H010941,Melbourne (C) - Remainder,Melbourne (C),6,Knox (C) - North-West,Knox (C),7,Vehicle Driver,26.3,30,30,Off Peak,317.0193111, ,1746.299855
Y09H011008P01JTW1,Y09H011008P01,Y09H011008,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),9,Public Bus,5.7,55,55,AM Peak (7am to 9am),144.6669737,194.1324066, 
Y09H011017P01JTW1,Y09H011017P01,Y09H011017,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Southbank & Docklands,Melbourne (C),8,Vehicle Driver,3.93,25,25,AM Peak (7am to 9am),291.2213279,443.1183413, 
Y09H011017P02JTW1,Y09H011017P02,Y09H011017,Port Phillip (C) - West,Port Phillip (C),8,Melbourne (C) - Inner,Melbourne (C),8,Vehicle Passenger,3.59,25,25,AM Peak (7am to 9am),201.8884015,312.6789645, 
Y09H011019P01JTW1,Y09H011019P01,Y09H011019,Port Phillip (C) - West,Port Phillip (C),7,Hume (C) - Craigieburn,Hume (C),8,Vehicle Driver,25.91,30,30,AM Peak (7am to 9am),212.661163,327.6674872, 
Y09H011024P01JTW1,Y09H011024P01,Y09H011024,Port Phillip (C) - West,Port Phillip (C),8,Port Phillip (C) - West,Port Phillip (C),8,Walking,2.74,35,35,AM Peak (7am to 9am),162.9704355,251.7771554, 
Y09H011033P01JTW1,Y09H011033P01,Y09H011033,Port Phillip (C) - West,Port Phillip (C),12,Glen Eira (C) - Caulfield,Glen Eira (C),12,Bicycle,8.94,45,45,Off Peak,101.8775996,162.348069, 
Y09H011037P01JTW1,Y09H011037P01,Y09H011037,Port Phillip (C) - West,Port Phillip (C),8,Whitehorse (C) - Box Hill,Whitehorse (C),9,Vehicle Driver,18.24,30,30,AM Peak (7am to 9am),142.2540223,191.9054079, 
Y09H011038P01JTW1,Y09H011038P01,Y09H011038,Port Phillip (C) - West,Port Phillip (C),10,Moreland (C) - Coburg,Moreland (C),12,Vehicle Driver,32.88,60,120,Off Peak,77.07093803,125.9506223, 
Y09H011102P01JTW1,Y09H011102P01,Y09H011102,Port Phillip (C) - St Kilda,Port Phillip (C),9,Port Phillip (C) - St Kilda,Port Phillip (C),9,Walking,1.82,25,25,Off Peak,301.6603103,434.8820386, 
Y09H011102P02JTW1,Y09H011102P02,Y09H011102,Port Phillip (C) - St Kilda,Port Phillip (C),8,Port Phillip (C) - St Kilda,Port Phillip (C),8,Walking,1.61,15,15,AM Peak (7am to 9am),245.90863,360.8426094, 
Y09H011104P01JTW1,Y09H011104P01,Y09H011104,Port Phillip (C) - St Kilda,Port Phillip (C),8,Boroondara (C) - Hawthorn,Boroondara (C),8,Vehicle Driver,6.36,30,30,AM Peak (7am to 9am),139.1403217,201.8727308, 
Y09H011109P01JTW1,Y09H011109P01,Y09H011109,Port Phillip (C) - St Kilda,Port Phillip (C),8,Yarra (C) - Richmond,Yarra (C),8,Vehicle Driver,3.86,15,15,AM Peak (7am to 9am),201.342893,289.2332019, 
Y09H011111P01JTW1,Y09H011111P01,Y09H011111,Port Phillip (C) - St Kilda,Port Phillip (C),6,Melbourne (C) - Inner,Melbourne (C),6,Bicycle,7.45,45,45,Off Peak,136.7729036,202.9726373, 
Y09H011119P01JTW1,Y09H011119P01,Y09H011119,Port Phillip (C) - St Kilda,Port Phillip (C),6,Yarra (C) - Richmond,Yarra (C),7,Tram,6.14,35,35,AM Peak (7am to 9am),138.7942991,189.5777082, 
